condition,metric,seed,Y_B0,Y_R1,Y_R2,Y_R3,R1_minus_B0,R2_minus_B0,interaction,Fire_used_for_decision
rgb_zero,selection_score_S_record_only,202,0.5034368429660838,0.31918019618468435,0.4151683452302087,0.344097682438953,-0.18425664678139947,-0.08826849773587514,0.11318598399014379,False
rgb_zero,three_class_miou_A001_A047_record_only,200,0.4858792025873637,0.4724206294521154,0.5259331652915245,0.48404962528425416,-0.013458573135248342,0.04005396270416073,-0.028424966872022006,False
rgb_zero,three_class_miou_A001_A047_record_only,201,0.5339496353725471,0.40607143751202707,0.27828603674720664,0.40282626567266255,-0.12787819786052007,-0.2556635986253405,0.252418426785976,False
rgb_zero,three_class_miou_A001_A047_record_only,202,0.5720012988226721,0.45960526906544086,0.3742002562314323,0.47640307393835774,-0.11239602975723129,-0.19780104259123982,0.2145988474641567,False
rgb_zero,fire_heat_iou_A001_A047_record_only,200,0.7241898846740418,0.6951110252920495,0.7635684776776722,0.703912714063304,-0.029078859381992284,0.03937859300363045,-0.030576904232375912,False
rgb_zero,fire_heat_iou_A001_A047_record_only,201,0.6208996323377715,0.5564835256132935,0.24443726685732944,0.48447075543131807,-0.06441610672447795,-0.376462365480442,0.3044495952984666,False
rgb_zero,fire_heat_iou_A001_A047_record_only,202,0.7038639715192231,0.6514145900905591,0.566795983120967,0.673449491674172,-0.052449381428663955,-0.13706798839825607,0.15910288998186894,False
rgb_zero,fire_heat_iou_full134_record_only,200,0.7100024698826944,0.6734521377518906,0.760001429638487,0.6798341804197738,-0.03655033213080383,0.049998959755792605,-0.04361691708790938,False
rgb_zero,fire_heat_iou_full134_record_only,201,0.645586342069756,0.4972669720856027,0.17939160592576298,0.459445974946257,-0.14831936998415324,-0.466194736143993,0.42837373900464726,False
rgb_zero,fire_heat_iou_full134_record_only,202,0.6975574171617249,0.6259744003017144,0.5289145895021183,0.6478682850067273,-0.07158301686001056,-0.1686428276596066,0.19053671236461955,False
